"Gene","FC","log2(FC)","raw.pval","-log10(p)"
"B9A064",0.14782,-2.7581,1.3176e-18,17.88
"A0A0B4J1U7",0.15127,-2.7248,1.0942e-17,16.961
"P0DOX2",0.12618,-2.9865,2.2852e-17,16.641
"A0A0C4DH36",0.16378,-2.6102,1.3753e-15,14.862
"P14174",0.081988,-3.6084,2.3841e-15,14.623
"P68133",0.090372,-3.468,3.3103e-15,14.48
"A0A0B4J1X5",0.095514,-3.3881,3.6854e-15,14.434
"A0A0C4DH25",0.086202,-3.5361,1.596e-14,13.797
"P01876",0.10506,-3.2506,2.8241e-14,13.549
"P30041",0.08761,-3.5128,3.9542e-14,13.403
"P0DOX7",0.093089,-3.4252,4.5797e-14,13.339
"P01834",0.094121,-3.4093,5.7132e-14,13.243
"P63104",0.087005,-3.5228,1.2808e-13,12.893
"P60174",0.090586,-3.4646,1.7222e-13,12.764
"P02768-1",0.098784,-3.3396,2.5985e-13,12.585
"Q07654",0.043024,-4.5387,2.7159e-13,12.566
"P17931",0.072331,-3.7892,8.3227e-13,12.08
"P04075",0.081402,-3.6188,1.8462e-12,11.734
"P02750",0.04427,-4.4975,2.092e-12,11.679
"A8K2U0",0.10076,-3.311,3.1344e-12,11.504
"Q9NQ38",0.046343,-4.4315,4.1354e-12,11.383
"P09211",0.0628,-3.9931,4.1596e-12,11.381
"P01859",0.091052,-3.4572,4.3812e-12,11.358
"P80188",0.062228,-4.0063,8.0646e-12,11.093
"P00450",0.04159,-4.5876,8.0756e-12,11.093
"P0DMV9",0.072829,-3.7793,8.7759e-12,11.057
"P61626",0.031686,-4.98,1.7374e-11,10.76
"Q96DA0",0.01337,-6.2248,2.3234e-11,10.634
"P30086",0.039439,-4.6642,3.2584e-11,10.487
"P0DP04",0.087465,-3.5151,3.3195e-11,10.479
"Q01469",0.015823,-5.9819,3.4037e-11,10.468
"P15311",0.074847,-3.7399,3.7649e-11,10.424
"P02763",0.011993,-6.3816,3.7729e-11,10.423
"Q9H299",0.025243,-5.308,3.9236e-11,10.406
"P07737",0.034551,-4.8551,4.0909e-11,10.388
"Q06323",0.030992,-5.0119,6.0865e-11,10.216
"P27482",0.06789,-3.8806,7.3128e-11,10.136
"P00338",0.027492,-5.1848,7.3982e-11,10.131
"A0A075B6R9",0.037683,-4.7299,9.5987e-11,10.018
"P0DP25",0.074281,-3.7509,1.7682e-10,9.7525
"O95274",0.039667,-4.6559,1.7875e-10,9.7478
"P37837",0.048849,-4.3555,2.1571e-10,9.6661
