"","HSPP_DW_2155.97","HSPP_DW_2149.95","HSPP_DW_2159.91","HSPP_JY_894.2","HSPP_DW_2158.90","HSPP_DW_2161.93","HSPP_DW_2150.94","HSPP_DW_2157.96","HSPP_DW_2160.92","HSPP_JY_892.1","HSPP_DW_2156.98","Saliva_COVID-19_086","Saliva_COVID-19_078","Saliva_COVID-19_080","Saliva_COVID-19_083","Saliva_COVID-19_085","Saliva_COVID-19_082","Saliva_COVID-19_081","Saliva_COVID-19_087","Saliva_COVID-19_084","Saliva_COVID-19_079"
"Label","A","A","A","A","A","A","A","A","A","A","A","B","B","B","B","B","B","B","B","B","B"
"A0A075B6H7","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-4.209616","-3.318135","-3.203010","-2.989738","-3.510646","-4.209616","-3.143712","-3.192066","-4.209616","-3.282871","-3.380698"
"A0A075B6H9","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.727184","-4.028214","-4.727184","-4.727184","-4.727184","-3.959239","-3.999913","-3.981299","-4.727184","-4.727184","-4.727184"
"A0A075B6I0","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.737976","-4.039006","-4.737976","-4.737976","-4.009661","-4.737976","-4.010728","-4.737976","-4.737976","-4.003751","-4.737976"
"A0A075B6I9","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-4.684533","-3.418779","-3.507771","-3.646680","-3.690476","-4.684533","-3.515415","-3.496822","-3.953115","-3.985563","-4.684533"
"A0A075B6K4","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-3.984012","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982","-4.682982"
"A0A075B6Q5","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.977646","-3.278676","-3.977646","-3.977646","-3.977646"
"A0A075B6R2","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.020816","-3.984892","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786","-4.719786"
"A0A075B6R9","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-4.696458","-2.990439","-3.296915","-3.180555","-3.224346","-3.962892","-3.100448","-3.206790","-3.486982","-3.218410","-3.997488"
"A0A075B6S5","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-4.691521","-3.418779","-4.691521","-4.691521","-4.691521","-4.691521","-3.992551","-4.691521","-3.953115","-4.691521","-4.691521"
"A0A075B6V5","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-3.976377","-4.675347","-4.675347","-4.675347","-4.675347","-4.675347","-3.971388"
"A0A087WSY4","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.723492","-4.024522","-3.988599","-3.650373","-4.723492","-3.654548","-4.723492","-3.977654","-3.655765","-4.723492","-3.689158"
"A0A087WSY6","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-4.684029","-3.536226","-3.500285","-3.463101","-3.984012","-3.944392","-3.985060","-3.267494","-3.644587","-3.978067","-3.978976"
"A0A087WSZ0","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-3.947691","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661","-4.646661"
"A0A087WW87","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-4.399027","-3.221342","-3.184157","-4.399027","-3.364426","-4.399027","-3.386486","-4.399027","-4.399027","-3.700057"
"A0A0A0MRZ8","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-4.342332","-3.168245","-4.342332","-3.241255","-3.285042","-3.643362","-3.081964","-3.267494","-4.342332","-3.279113","-3.280023"
"A0A0A0MS14","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839","-3.951869","-4.650839","-4.650839","-4.650839","-4.650839","-4.650839"
