"Common A B"	"Unique A"	"Unique B"
"O00299"	NA	NA
"O00391"	NA	NA
"O00560"	NA	NA
"O00584"	NA	NA
"O00592"	NA	NA
"O00754"	NA	NA
"O43240"	NA	NA
"O43278"	NA	NA
"O43490"	NA	NA
"O43505"	NA	NA
"O43707"	NA	NA
"O43852"	NA	NA
"O60235"	NA	NA
"O60437"	NA	NA
"O60888"	NA	NA
"O75015"	NA	NA
"O75083"	NA	NA
"O75223"	NA	NA
"O75368"	NA	NA
"O75594"	NA	NA
"O75629"	NA	NA
"O75882"	NA	NA
"O75976"	NA	NA
"O95171"	NA	NA
"O95336"	NA	NA
"O95994"	NA	NA
"P00441"	NA	NA
"P00558"	NA	NA
"P00734"	NA	NA
"P00738"	NA	NA
"P00747"	NA	NA
"P00751"	NA	NA
"P01023"	NA	NA
"P01024"	NA	NA
"P01033"	NA	NA
"P01034"	NA	NA
"P01036"	NA	NA
"P01037"	NA	NA
"P01040"	NA	NA
"P01133"	NA	NA
"P01591"	NA	NA
"P01593"	NA	NA
"P01599"	NA	NA
"P01602"	NA	NA
"P01619"	NA	NA
"P01624"	NA	NA
"P01700"	NA	NA
"P01701"	NA	NA
"P01704"	NA	NA
"P01706"	NA	NA
"P01714"	NA	NA
"P01717"	NA	NA
"P01721"	NA	NA
"P01742"	NA	NA
"P01743"	NA	NA
"P01763"	NA	NA
"P01768"	NA	NA
"P01780"	NA	NA
"P01817"	NA	NA
"P01833"	NA	NA
"P01861"	NA	NA
"P01871"	NA	NA
"P02452"	NA	NA
"P02533"	NA	NA
"P02538"	NA	NA
"P02647"	NA	NA
"P02649"	NA	NA
"P02652"	NA	NA
"P02671"	NA	NA
"P02675"	NA	NA
"P02679"	NA	NA
"P02749"	NA	NA
"P02751"	NA	NA
"P02753"	NA	NA
"P02765"	NA	NA
"P02774"	NA	NA
"P02787"	NA	NA
"P02788"	NA	NA
"P02790"	NA	NA
"P02808"	NA	NA
"P02810"	NA	NA
"P02814"	NA	NA
"P03973"	NA	NA
"P04066"	NA	NA
"P04080"	NA	NA
"P04083"	NA	NA
"P04196"	NA	NA
"P04259"	NA	NA
"P04264"	NA	NA
"P04433"	NA	NA
"P04746"	NA	NA
"P04792"	NA	NA
"P05089"	NA	NA
"P05090"	NA	NA
"P05109"	NA	NA
"P05164"	NA	NA
"P06312"	NA	NA
"P06331"	NA	NA
"P06396"	NA	NA
"P06576"	NA	NA
"P06702"	NA	NA
"P06703"	NA	NA
"P06727"	NA	NA
"P06731"	NA	NA
"P06733"	NA	NA
"P06744"	NA	NA
"P06865"	NA	NA
"P06870"	NA	NA
"P07108"	NA	NA
"P07195"	NA	NA
"P07237"	NA	NA
"P07339"	NA	NA
"P07355"	NA	NA
"P07384"	NA	NA
"P07476"	NA	NA
"P07477"	NA	NA
"P07602"	NA	NA
"P07686"	NA	NA
"P07711"	NA	NA
"P07858"	NA	NA
"P07996"	NA	NA
"P08134"	NA	NA
"P08246"	NA	NA
"P08311"	NA	NA
"P08571"	NA	NA
"P08582"	NA	NA
"P08603"	NA	NA
"P08727"	NA	NA
"P08758"	NA	NA
"P08779"	NA	NA
"P09228"	NA	NA
"P09958"	NA	NA
"P09960"	NA	NA
"P0C0L5"	NA	NA
"P0DJI8"	NA	NA
"P0DUB6"	NA	NA
"P10153"	NA	NA
"P10599"	NA	NA
"P10909"	NA	NA
"P11021"	NA	NA
"P11142"	NA	NA
"P11684"	NA	NA
"P11940"	NA	NA
"P12109"	NA	NA
"P12110"	NA	NA
"P12273"	NA	NA
"P12429"	NA	NA
"P12814"	NA	NA
"P12830"	NA	NA
"P13489"	NA	NA
"P13639"	NA	NA
"P13645"	NA	NA
"P13647"	NA	NA
"P13693"	NA	NA
"P13796"	NA	NA
"P13797"	NA	NA
"P13987"	NA	NA
"P14314"	NA	NA
