"","Fold Change","log2(FC)"
"P04040",0.008144,-6.94
"P15516",120.59,6.914
"P08670",0.010364,-6.5922
"P02763",0.011993,-6.3816
"Q5XKE5",79.122,6.306
"Q96DA0",0.01337,-6.2248
"P35527",74.591,6.2209
"P68871",0.014146,-6.1435
"Q01469",0.015823,-5.9819
"P31025",0.018925,-5.7236
"P14618",0.019048,-5.7142
"Q71DI3",0.019093,-5.7108
"P13646-1",0.020979,-5.5749
"P69905",0.021613,-5.532
"P30838",0.022224,-5.4918
"P59998",0.023892,-5.3873
"P02810",41.118,5.3617
"P49913",0.024667,-5.3413
"Q9H299",0.025243,-5.308
"P11413",0.026381,-5.2444
"Q14CN2",0.02661,-5.2319
"P04114",0.027461,-5.1865
"P00338",0.027492,-5.1848
"P68431",0.02811,-5.1528
"P0C0L4",0.028437,-5.1361
"P62937",0.028677,-5.124
"P62805",0.028752,-5.1202
"P31151",0.029147,-5.1005
"Q06323",0.030992,-5.0119
"P61626",0.031686,-4.98
"O00748",0.032091,-4.9617
"P07737",0.034551,-4.8551
"Q01518",0.035899,-4.7999
"P25815",0.037063,-4.7539
"A0A075B6R9",0.037683,-4.7299
"P10599",0.038417,-4.7021
"P52209",0.039049,-4.6786
"P30086",0.039439,-4.6642
"O95274",0.039667,-4.6559
"P06737",0.040773,-4.6162
"P23141",0.041338,-4.5964
"P00450",0.04159,-4.5876
"P20700",0.04176,-4.5817
"P01009",0.042257,-4.5647
"Q07654",0.043024,-4.5387
"P04217",0.043519,-4.5222
"P02750",0.04427,-4.4975
"O00764",0.044742,-4.4822
"P31949",0.045185,-4.468
"P01011",0.045208,-4.4673
"Q9NQ38",0.046343,-4.4315
"Q9ULZ3",0.046586,-4.424
"O15144",0.046941,-4.413
"G8H6I3",20.575,4.3628
"P37837",0.048849,-4.3555
"P67936",0.050446,-4.3091
"P04259",19.168,4.2606
"P26447",0.053163,-4.2334
"P78417",0.054265,-4.2038
"P20061",0.054631,-4.1941
"P04406",0.05608,-4.1564
"P01019",0.056557,-4.1441
"A0A0C4DH35",0.057145,-4.1292
"Q15782",0.057867,-4.1111
"P00491",0.058633,-4.0921
"Q16778",0.059142,-4.0797
"P19021",0.059553,-4.0697
"P80188",0.062228,-4.0063
"P09211",0.0628,-3.9931
"P61160",0.062841,-3.9922
"P07108",0.063512,-3.9768
"O76013",15.449,3.9495
"IPI00220985",15.044,3.9112
"P04632",0.0673,-3.8932
"Q9NP55",0.06753,-3.8883
"P29401",0.067537,-3.8882
"P31946",0.067763,-3.8834
"P27482",0.06789,-3.8806
"P13796",0.068044,-3.8774
"O60218",0.068429,-3.8693
"P37802",0.069231,-3.8524
"P80723",0.069477,-3.8473
"IPI00550947",14.278,3.8358
"P31150",0.070586,-3.8245
"IPI00550932",14.103,3.818
"P00390",0.071447,-3.807
"P17931",0.072331,-3.7892
"P35908",13.796,3.7861
"IPI00550663",13.741,3.7804
"P0DMV9",0.072829,-3.7793
"P0DP25",0.074281,-3.7509
"IPI00550584",13.384,3.7424
"P36871",0.074755,-3.7417
"P15311",0.074847,-3.7399
"P23284",0.075436,-3.7286
"P21926",0.075974,-3.7184
"P11684",0.076641,-3.7057
"P29034",0.07808,-3.6789
"P12814",0.078449,-3.6721
"B3EWG6",0.079056,-3.661
"P17213",0.079866,-3.6463
"IPI00550513",12.446,3.6376
"P04075",0.081402,-3.6188
"P06733",0.081887,-3.6102
"P14174",0.081988,-3.6084
"P06744",0.082111,-3.6063
"P0DOX3",0.083174,-3.5877
"Q04695",11.889,3.5715
"P09972",0.084171,-3.5705
"IPI00550048",11.851,3.567
"P47756",0.084379,-3.567
"P61204",0.084692,-3.5616
"Q99536",0.085142,-3.554
"Q7Z794",11.728,3.5518
"IPI00431749",11.651,3.5424
"P00492",0.086086,-3.5381
"A0A0C4DH25",0.086202,-3.5361
"P02647",0.086656,-3.5285
"P63104",0.087005,-3.5228
"P0DP04",0.087465,-3.5151
"P30041",0.08761,-3.5128
"A0A0J9YX35",0.08775,-3.5105
"A0A0B4J1V0",0.087826,-3.5092
"P31947",0.088961,-3.4907
"P33908",0.08996,-3.4746
"P68133",0.090372,-3.468
"Q8NBJ4",0.090437,-3.4669
"P60174",0.090586,-3.4646
